provider,model,input_per_mtok,output_per_mtok,effective_date,is_active
openai,gpt-4o,2.50,10.00,2025-12-13,true
anthropic,claude-sonnet-4.5,3.00,15.00,2025-12-13,true
google,gemini-2.5-pro,1.25,10.00,2025-12-13,true
